,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
27,20200623,MP,30,8187.0,,,,,,,,19.0,D,6/22/2020 21:40,2020-06-22T21:40:00Z,06/22 17:40,2,,2020-06-22T21:40:00Z,8217.0,,,30.0,69,0,48,8217,8217,48,8217,0,0,f33530f5370adfe2af95095b6e8bfd303d5d46e4,0,0,0,0,0,
28,20200623,MS,22898,241066.0,,664.0,2915.0,151.0,,88.0,,17242.0,A,6/22/2020 19:00,2020-06-22T19:00:00Z,06/22 15:00,989,2915.0,2020-06-22T19:00:00Z,263811.0,,,22745.0,28,611,10104,263964,263964,10715,263964,11,34,8650061cfd8334965097496f7755c796bae5e853,0,0,0,0,0,
29,20200623,MT,743,73180.0,,15.0,91.0,,,,,566.0,C,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,21,91.0,2020-06-23T00:00:00Z,,,,743.0,30,3,2615,73923,73923,2618,73923,0,1,e28fa81a8bb96e5b4e270eedff649affc3333080,0,0,0,0,0,
30,20200623,NC,54453,719375.0,,915.0,,,,,,36921.0,A,6/23/2020 11:55,2020-06-23T11:55:00Z,06/23 07:55,1251,,2020-06-23T11:55:00Z,,,,54453.0,37,848,15635,773828,773828,16483,773828,28,0,a5e31128192b37530587c15cb7e3be3324d6af3a,0,0,0,0,0,
31,20200623,ND,3320,94233.0,,28.0,218.0,,,,,3008.0,D,6/23/2020 00:00,2020-06-23T00:00:00Z,06/22 20:00,84,218.0,2020-06-23T00:00:00Z,158524.0,,,3320.0,38,7,93,97553,97553,100,97553,1,0,ab22c604064f58b03a43d7fd588478fcd48c748c,0,0,0,0,0,
32,20200623,NE,17957,140685.0,,135.0,1234.0,,,,,11980.0,D,6/22/2020 20:25,2020-06-22T20:25:00Z,06/22 16:25,249,1234.0,2020-06-22T20:25:00Z,,,,17957.0,31,147,1987,158642,158642,2134,158642,5,22,86c2fd15ffd9804419b9293cb7064c42be89decb,0,0,0,0,0,
33,20200623,NH,5558,103318.0,,54.0,558.0,,160.0,,,4290.0,B,6/22/2020 09:00,2020-06-22T09:00:00Z,06/22 05:00,339,558.0,2020-06-22T09:00:00Z,,,,5558.0,33,14,0,108876,108876,14,108876,0,5,bf0aa33a06b9df12607e83a94e39b10b78874f40,0,0,0,0,0,
34,20200623,NJ,169734,1113717.0,,1092.0,19512.0,307.0,,216.0,,29517.0,A+,6/23/2020 13:00,2020-06-23T13:00:00Z,06/23 09:00,12949,19512.0,2020-06-23T13:00:00Z,,,,169734.0,34,319,15733,1283451,1283451,16052,1283451,54,111,1fae5da6eb6de18a6578824bc8ddd740e052174a,0,0,0,0,0,
35,20200623,NM,10694,287382.0,,139.0,1754.0,,,,,4742.0,C,6/22/2020 17:54,2020-06-22T17:54:00Z,06/22 13:54,469,1754.0,2020-06-22T17:54:00Z,,,,10694.0,35,129,4516,298076,298076,4645,298076,0,8,b38a16a432638657ec67b9eb84fe42282eeeb962,0,0,0,0,0,
36,20200623,NV,13997,234529.0,,389.0,,100.0,,50.0,,658.0,A+,6/23/2020 11:30,2020-06-23T11:30:00Z,06/23 07:30,492,,2020-06-23T11:30:00Z,285790.0,,,13997.0,32,462,3999,248526,248526,4461,248526,0,0,72cb0841d6f0cf678430996fe57a21c1d2927a83,0,0,0,0,0,
