,date,state,positive,negative,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,death,hospitalized,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,positiveincrease,negativeincrease,total,totaltestresults,totaltestresultsincrease,posneg,deathincrease,hospitalizedincrease,commercialscore,negativeregularscore,negativescore,positivescore,score
46,2020-06-23,0,36303,669116.0,446.0,2336.0,0.0,0.0,0.0,0.0,24068.0,542,2336.0,705164.0,42154.0,663010.0,36048.0,750,4564,705419,705419,5314,705419,11,35,0,0,0,0,0
47,2020-06-23,0,120370,1476920.0,4092.0,0.0,0.0,0.0,0.0,0.0,70714.0,2220,0.0,1597290.0,0.0,0.0,0.0,5489,42792,1597290,1597290,48281,1597290,28,0,0,0,0,0,0
48,2020-06-23,0,18300,283976.0,214.0,1226.0,77.0,344.0,0.0,153.0,10057.0,163,1226.0,0.0,0.0,0.0,18300.0,394,2570,302276,302276,2964,302276,5,34,0,0,0,0,0
49,2020-06-23,0,58994,509383.0,847.0,8572.0,245.0,0.0,126.0,0.0,7725.0,1645,8572.0,565835.0,0.0,0.0,56452.0,529,9725,568668,568377,10254,568377,25,61,0,0,0,0,0
50,2020-06-23,0,76,2544.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6,0.0,0.0,0.0,0.0,76.0,0,42,2653,2620,42,2620,0,0,0,0,0,0,0
51,2020-06-23,0,1164,58164.0,19.0,0.0,0.0,0.0,0.0,0.0,927.0,56,0.0,0.0,0.0,0.0,1164.0,1,720,59328,59328,721,59328,0,0,0,0,0,0,0
52,2020-06-23,0,28870,448334.0,204.0,4062.0,0.0,0.0,37.0,0.0,0.0,1276,4062.0,0.0,0.0,0.0,28870.0,190,2076,477204,477204,2266,477204,6,13,0,0,0,0,0
53,2020-06-23,0,25331,478165.0,240.0,3268.0,93.0,716.0,0.0,0.0,19852.0,750,3268.0,0.0,0.0,0.0,25331.0,263,11531,503638,503496,11794,503496,5,37,0,0,0,0,0
54,2020-06-23,0,2582,151746.0,21.0,0.0,5.0,0.0,2.0,0.0,1790.0,92,0.0,0.0,0.0,0.0,2493.0,30,3094,154328,154328,3124,154328,3,0,0,0,0,0,0
55,2020-06-23,0,1254,27485.0,8.0,109.0,0.0,0.0,0.0,0.0,953.0,20,109.0,38300.0,1149.0,37151.0,992.0,24,1323,28739,28739,1347,28739,0,4,0,0,0,0,0
